timestamp,date_time,symbol,timeframe,signal_direction,filter_type,rejection_reason,rsi_value,price,additional_data
1747114100,2025-05-13 02:28:20,DOGEUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,0.22263000,"{'pivot_levels': {'PP': 0.2349, 'S1': 0.21638999999999997, 'R1': 0.24941, 'S2': 0.20187999999999998, 'R2': 0.26792000000000005, 'S3': 0.18336999999999995, 'R3': 0.28243}}"
1747114103,2025-05-13 02:28:23,TRUMPUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,12.57700000,"{'pivot_levels': {'PP': 13.310333333333332, 'S1': 11.895666666666665, 'R1': 14.486666666666665, 'S2': 10.719333333333333, 'R2': 15.901333333333332, 'S3': 9.304666666666666, 'R3': 17.077666666666666}}"
1747114343,2025-05-13 02:32:23,DOGEUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,0.22218000,"{'pivot_levels': {'PP': 0.2349, 'S1': 0.21638999999999997, 'R1': 0.24941, 'S2': 0.20187999999999998, 'R2': 0.26792000000000005, 'S3': 0.18336999999999995, 'R3': 0.28243}}"
1747114511,2025-05-13 02:35:11,DOGEUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,0.22136000,"{'pivot_levels': {'PP': 0.2349, 'S1': 0.21638999999999997, 'R1': 0.24941, 'S2': 0.20187999999999998, 'R2': 0.26792000000000005, 'S3': 0.18336999999999995, 'R3': 0.28243}}"
1747115040,2025-05-13 02:44:00,TRUMPUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,12.52600000,"{'pivot_levels': {'PP': 13.310333333333332, 'S1': 11.895666666666665, 'R1': 14.486666666666665, 'S2': 10.719333333333333, 'R2': 15.901333333333332, 'S3': 9.304666666666666, 'R3': 17.077666666666666}}"
1747121133,2025-05-13 04:25:33,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (20782.66) abaixo do mínimo requerido (68650.78),N/A,12.72300000,"{'avg_volume': 57208.979999999996, 'required_threshold': 68650.776}"
1747121285,2025-05-13 04:28:05,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (107610.00) abaixo do mínimo requerido (5282399.82),N/A,0.22442000,"{'avg_volume': 4401999.85, 'required_threshold': 5282399.819999999}"
1747121344,2025-05-13 04:29:04,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (7.74) abaixo do mínimo requerido (70322.11),N/A,12.69900000,"{'avg_volume': 58601.757, 'required_threshold': 70322.1084}"
1747121358,2025-05-13 04:29:18,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (747066.00) abaixo do mínimo requerido (5196633.60),N/A,0.22438000,"{'avg_volume': 4330528.0, 'required_threshold': 5196633.6}"
1747121369,2025-05-13 04:29:29,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (897277.00) abaixo do mínimo requerido (5196633.60),N/A,0.22443000,"{'avg_volume': 4330528.0, 'required_threshold': 5196633.6}"
1747121406,2025-05-13 04:30:06,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (124955.00) abaixo do mínimo requerido (4976983.98),N/A,0.22459000,"{'avg_volume': 4147486.65, 'required_threshold': 4976983.9799999995}"
1747121450,2025-05-13 04:30:50,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (3611448.00) abaixo do mínimo requerido (4976983.98),N/A,0.22442000,"{'avg_volume': 4147486.65, 'required_threshold': 4976983.9799999995}"
1747121461,2025-05-13 04:31:01,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (4018784.00) abaixo do mínimo requerido (4976983.98),N/A,0.22457000,"{'avg_volume': 4147486.65, 'required_threshold': 4976983.9799999995}"
1747122024,2025-05-13 04:40:24,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (61.57) acima do limite para compra (45),30.20,0.22407000,"{'ref_timeframe': '5m', 'ref_rsi': 61.57303370786525}"
1747122091,2025-05-13 04:41:31,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (62.50) acima do limite para compra (45),33.14,0.22406000,"{'ref_timeframe': '5m', 'ref_rsi': 62.50000000000008}"
1747122306,2025-05-13 04:45:06,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (62.67) acima do limite para compra (45),39.39,0.22407000,"{'ref_timeframe': '5m', 'ref_rsi': 62.66968325791833}"
1747123873,2025-05-13 05:11:13,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (55.24) acima do limite para compra (45),35.64,12.74200000,"{'ref_timeframe': '5m', 'ref_rsi': 55.23809523809542}"
1747123931,2025-05-13 05:12:11,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (55.10) acima do limite para compra (45),29.47,12.74300000,"{'ref_timeframe': '5m', 'ref_rsi': 55.09554140127389}"
1747123953,2025-05-13 05:12:33,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (55.94) acima do limite para compra (45),33.00,12.73900000,"{'ref_timeframe': '5m', 'ref_rsi': 55.93750000000003}"
1747124551,2025-05-13 05:22:31,TRUMPUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,12.68300000,"{'pivot_levels': {'PP': 13.310333333333332, 'S1': 11.895666666666665, 'R1': 14.486666666666665, 'S2': 10.719333333333333, 'R2': 15.901333333333332, 'S3': 9.304666666666666, 'R3': 17.077666666666666}}"
1747124554,2025-05-13 05:22:34,DOGEUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,0.22365000,"{'pivot_levels': {'PP': 0.2349, 'S1': 0.21638999999999997, 'R1': 0.24941, 'S2': 0.20187999999999998, 'R2': 0.26792000000000005, 'S3': 0.18336999999999995, 'R3': 0.28243}}"
1747124597,2025-05-13 05:23:17,TRUMPUSDT,1m,BUY,SR_SWING_POINTS,Nenhum nível de suporte próximo encontrado,N/A,12.65700000,"{'swing_lows': [12.726, 12.715, 12.713], 'swing_highs': [12.771, 12.793, 12.8]}"
1747124643,2025-05-13 05:24:03,TRUMPUSDT,1m,BUY,SR_SWING_POINTS,Nenhum nível de suporte próximo encontrado,N/A,12.65800000,"{'swing_lows': [12.726, 12.715, 12.713], 'swing_highs': [12.771, 12.793, 12.8]}"
1747124657,2025-05-13 05:24:17,DOGEUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,0.22341000,"{'pivot_levels': {'PP': 0.2349, 'S1': 0.21638999999999997, 'R1': 0.24941, 'S2': 0.20187999999999998, 'R2': 0.26792000000000005, 'S3': 0.18336999999999995, 'R3': 0.28243}}"
1747124663,2025-05-13 05:24:23,TRUMPUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,12.67500000,"{'pivot_levels': {'PP': 13.310333333333332, 'S1': 11.895666666666665, 'R1': 14.486666666666665, 'S2': 10.719333333333333, 'R2': 15.901333333333332, 'S3': 9.304666666666666, 'R3': 17.077666666666666}}"
1747124685,2025-05-13 05:24:45,DOGEUSDT,1m,BUY,SR_PIVOT_POINTS,Nenhum nível de pivot suporte próximo encontrado,N/A,0.22358000,"{'pivot_levels': {'PP': 0.2349, 'S1': 0.21638999999999997, 'R1': 0.24941, 'S2': 0.20187999999999998, 'R2': 0.26792000000000005, 'S3': 0.18336999999999995, 'R3': 0.28243}}"
1747124705,2025-05-13 05:25:05,TRUMPUSDT,5m,BUY,MTF_RSI,RSI em 15m (59.11) acima do limite para compra (45),39.53,12.68100000,"{'ref_timeframe': '15m', 'ref_rsi': 59.11016949152554}"
